,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
229,15.0,kullback-leibler,hamming,0.4394645566097587,0.34649909249222594,0.8489424342221946
230,15.0,kullback-leibler,tukey,0.43852698817628327,0.3289587959935011,0.8148572351811517
231,16.0,kullback-leibler,ones,0.3167617890130404,0.38186047034917936,0.7690093463406779
232,16.0,kullback-leibler,hanning,0.4137273266212828,0.340586661961182,0.8241619927185079
233,16.0,kullback-leibler,bartlett,0.4398290400039284,0.33376969470954804,0.8294715405720053
234,16.0,kullback-leibler,blackman,0.42192649997171017,0.36688924618812724,0.8222521648013833
235,16.0,kullback-leibler,flattop,0.401503439183837,0.3837136150561864,0.8983833627826036
236,16.0,kullback-leibler,hamming,0.40178085413527576,0.34053130024442335,0.8584319979538806
237,16.0,kullback-leibler,tukey,0.42864642147440646,0.3401299244689415,0.7946923612802947
238,17.0,kullback-leibler,ones,0.35996221156739583,0.3705807260121924,0.80485949136074
239,17.0,kullback-leibler,hanning,0.4623280716136374,0.3350672697435827,0.8267996496605875
240,17.0,kullback-leibler,bartlett,0.43598711765338893,0.34036887762704,0.8245231823306144
241,17.0,kullback-leibler,blackman,0.417159563488791,0.3667316829463647,0.8369729070857533
242,17.0,kullback-leibler,flattop,0.43048542487548924,0.38976079510107037,0.9083751859258451
243,17.0,kullback-leibler,hamming,0.4196234132529725,0.34109698466853144,0.8230127362694143
244,17.0,kullback-leibler,tukey,0.45296978611984035,0.34094084024929094,0.7806667226974776
245,18.0,kullback-leibler,ones,0.3934033192859647,0.3533557301516225,0.8078240723354039
246,18.0,kullback-leibler,hanning,0.46878720497917786,0.3336450018830151,0.8071968020360055
247,18.0,kullback-leibler,bartlett,0.47776117717335753,0.34366587357147743,0.8609946029021669
248,18.0,kullback-leibler,blackman,0.4716093261373758,0.36430283051164475,0.8424662053593137
249,18.0,kullback-leibler,flattop,0.4437572511728529,0.3871826407913143,0.8937265039850824
250,18.0,kullback-leibler,hamming,0.4388989622479802,0.34019258113246154,0.8377667914725097
251,18.0,kullback-leibler,tukey,0.43342881189423477,0.3364647994871981,0.6989953490654796
252,19.0,kullback-leibler,ones,0.3649419949360895,0.3596548953318272,0.7812927840537648
253,19.0,kullback-leibler,hanning,0.4371880962960861,0.33463923539849144,0.7954148516331755
254,19.0,kullback-leibler,bartlett,0.46019584969380567,0.3371779612140888,0.8852728335678189
255,19.0,kullback-leibler,blackman,0.42778307439624785,0.3689521309965078,0.8468242105301216
256,19.0,kullback-leibler,flattop,0.43241525145335746,0.3959023117367847,0.9086331288425086
257,19.0,kullback-leibler,hamming,0.4259984970367403,0.3374955991296709,0.8429531640309342
258,19.0,kullback-leibler,tukey,0.4349796860195245,0.34323744981990484,0.7009762441791193
259,20.0,kullback-leibler,ones,0.3557125235328107,0.3634495042730077,0.7921063246418901
260,20.0,kullback-leibler,hanning,0.45169692134283346,0.3379410145671077,0.8399060970058015
261,20.0,kullback-leibler,bartlett,0.464250574719941,0.34116406158690366,0.8755332601581491
262,20.0,kullback-leibler,blackman,0.4492716198154563,0.37116489760886723,0.8652198715268496
263,20.0,kullback-leibler,flattop,0.43357819577143153,0.4033050928687644,0.9143117473802659
264,20.0,kullback-leibler,hamming,0.47521221766052274,0.3396925186708299,0.8497519110145825
265,20.0,kullback-leibler,tukey,0.45736747036692693,0.34333947460144004,0.6941872118219149
266,2.0,itakura-saito,ones,,,
